truck 0.68 (179, 2) (207, 21)
Found 9 boxes for img
Found 9 boxes for img
car 0.43 (126, 1) (136, 9)
motorbike 0.52 (21, 25) (32, 47)
bus 0.99 (86, 11) (143, 87)
bus 0.41 (0, 9) (133, 231)
truck 0.50 (196, 3) (229, 23)
person 0.52 (21, 25) (32, 47)
car 0.88 (151, 9) (166, 22)
car 0.79 (166, 3) (182, 17)
car 0.48 (137, 2) (150, 11)
car 0.43 (126, 1) (136, 9)
motorbike 0.52 (21, 25) (32, 47)
bus 0.99 (87, 10) (143, 87)
bus 0.41 (3, 4) (133, 231)
truck 0.50 (196, 3) (229, 23)
person 0.52 (21, 25) (32, 47)
car 0.88 (151, 9) (166, 22)
car 0.79 (166, 3) (182, 17)
car 0.48 (137, 2) (150, 11)
car 0.43 (126, 1) (136, 9)
motorbike 0.52 (21, 25) (32, 47)
bus 0.99 (86, 11) (143, 87)
bus 0.41 (8, 1) (133, 231)
truck 0.50 (196, 3) (229, 23)
person 0.52 (21, 26) (32, 47)
car 0.88 (151, 9) (166, 22)
car 0.79 (166, 3) (182, 17)
car 0.48 (137, 2) (150, 11)
car 0.43 (126, 1) (136, 9)
motorbike 0.52 (21, 26) (32, 47)
bus 0.99 (87, 10) (143, 87)
bus 0.41 (11, -4) (133, 231)
truck 0.50 (196, 3) (229, 23)
person 0.52 (21, 27) (32, 47)
car 0.88 (151, 9) (166, 22)
car 0.79 (166, 3) (182, 17)
car 0.48 (137, 2) (150, 11)
car 0.43 (126, 1) (136, 9)
motorbike 0.52 (21, 27) (32, 47)
bus 0.99 (88, 11) (143, 87)
bus 0.41 (14, -7) (133, 231)
truck 0.50 (196, 3) (229, 23)
person 0.52 (21, 26) (32, 47)
car 0.88 (151, 9) (166, 22)
car 0.79 (166, 3) (182, 17)
car 0.48 (137, 2) (150, 11)
car 0.43 (126, 1) (136, 9)
motorbike 0.52 (21, 26) (32, 47)
bus 0.99 (89, 10) (143, 87)
bus 0.41 (17, -14) (133, 231)
truck 0.50 (196, 3) (229, 23)
person 0.52 (21, 27) (32, 47)
car 0.88 (151, 9) (166, 22)
car 0.79 (166, 3) (182, 17)
car 0.48 (137, 2) (150, 11)
car 0.43 (126, 1) (136, 9)
motorbike 0.52 (21, 27) (32, 47)
bus 0.99 (90, 11) (143, 87)
bus 0.41 (20, -15) (133, 231)
truck 0.50 (196, 3) (229, 23)
person 0.52 (21, 26) (32, 47)
car 0.88 (151, 9) (166, 22)
car 0.79 (166, 3) (182, 17)
car 0.48 (137, 2) (150, 11)
car 0.43 (126, 1) (136, 9)
motorbike 0.52 (21, 26) (32, 47)
bus 0.99 (91, 10) (143, 87)
bus 0.41 (21, -20) (133, 231)
truck 0.50 (196, 3) (229, 23)
person 0.52 (21, 27) (32, 47)
car 0.88 (151, 9) (166, 22)
car 0.79 (166, 3) (182, 17)
car 0.48 (137, 2) (150, 11)
car 0.43 (126, 1) (136, 9)
motorbike 0.52 (21, 27) (32, 47)
bus 0.99 (90, 11) (143, 87)
bus 0.41 (24, -23) (133, 231)
truck 0.50 (196, 3) (229, 23)
Found 7 boxes for img
car 0.84 (151, 8) (166, 20)
car 0.49 (166, 3) (182, 16)
car 0.33 (191, 3) (225, 22)
bus 0.95 (95, 3) (146, 69)
bus 0.80 (-6, 43) (156, 237)
train 0.37 (-10, 35) (152, 222)
truck 0.53 (191, 3) (225, 22)
car 0.84 (151, 8) (166, 20)
car 0.49 (166, 3) (182, 16)
car 0.33 (191, 3) (225, 22)
bus 0.95 (95, 2) (146, 69)
bus 0.80 (0, 38) (156, 237)
train 0.37 (-4, 31) (152, 222)
truck 0.53 (191, 3) (225, 22)
car 0.84 (151, 8) (166, 20)
car 0.49 (166, 3) (182, 16)
car 0.33 (191, 3) (225, 22)
bus 0.95 (97, 1) (146, 69)
bus 0.80 (6, 31) (156, 237)
train 0.37 (2, 25) (152, 222)
truck 0.53 (191, 3) (225, 22)
car 0.84 (151, 8) (166, 20)
car 0.49 (166, 3) (182, 16)
car 0.33 (191, 3) (225, 22)
bus 0.95 (97, 2) (146, 69)
bus 0.80 (10, 28) (156, 237)
train 0.37 (6, 21) (152, 222)
truck 0.53 (191, 3) (225, 22)
car 0.84 (151, 8) (166, 20)
car 0.49 (166, 3) (182, 16)
car 0.33 (191, 3) (225, 22)
bus 0.95 (97, 1) (146, 69)
bus 0.80 (16, 23) (156, 237)
train 0.37 (10, 17) (152, 222)
truck 0.53 (191, 3) (225, 22)
car 0.84 (151, 8) (166, 20)
car 0.49 (166, 3) (182, 16)
car 0.33 (191, 3) (225, 22)
bus 0.95 (97, 2) (146, 69)
bus 0.80 (18, 20) (156, 237)
train 0.37 (14, 13) (152, 222)
truck 0.53 (191, 3) (225, 22)
car 0.84 (150, 8) (166, 20)
car 0.49 (166, 3) (182, 16)
car 0.33 (191, 3) (225, 22)
bus 0.95 (99, 1) (146, 69)
bus 0.80 (20, 17) (156, 237)
train 0.37 (16, 9) (152, 222)
truck 0.53 (191, 3) (225, 22)
car 0.84 (150, 8) (166, 20)
car 0.49 (166, 3) (182, 16)
car 0.33 (191, 3) (225, 22)
bus 0.95 (99, 2) (146, 69)
bus 0.80 (20, 16) (156, 237)
train 0.37 (16, 7) (152, 222)
truck 0.53 (191, 3) (225, 22)
car 0.84 (150, 8) (166, 20)
car 0.49 (166, 3) (182, 16)
car 0.33 (191, 3) (225, 22)
bus 0.95 (99, 1) (146, 69)
bus 0.80 (20, 13) (156, 237)
train 0.37 (18, 5) (152, 222)
truck 0.53 (191, 3) (225, 22)
Found 7 boxes for img
car 0.74 (150, 5) (165, 18)
car 0.40 (189, 3) (222, 21)
car 0.39 (164, 1) (183, 14)
bus 0.90 (101, 3) (150, 52)
bus 0.50 (-2, 35) (165, 236)
train 0.94 (-1, 23) (162, 226)
truck 0.52 (189, 3) (222, 21)
car 0.74 (150, 5) (165, 18)
car 0.40 (189, 3) (222, 21)
car 0.39 (164, 1) (183, 14)
bus 0.90 (101, 3) (150, 52)
bus 0.50 (3, 29) (165, 236)
train 0.94 (3, 17) (162, 226)
truck 0.52 (189, 3) (222, 21)
car 0.74 (150, 5) (165, 18)
car 0.40 (189, 3) (222, 21)
car 0.39 (164, 1) (183, 14)
bus 0.90 (101, 3) (150, 52)
bus 0.50 (8, 21) (165, 236)
train 0.94 (7, 13) (162, 226)
truck 0.52 (189, 3) (222, 21)
car 0.74 (150, 5) (165, 18)
car 0.40 (189, 3) (222, 21)
car 0.39 (164, 1) (183, 14)
